Time - Seconds;Temp1;Temp2;Temp3
00.06.09;26.07.00;49.04.00;52.02.00
00.06.10;26.08.00;50.00.00;52.07.00
00.06.11;26.09.00;50.06.00;53.01.00
00.06.12;27.00.00;51.01.00;53.05.00
00.06.13;27.02.00;51.06.00;53.09.00
00.06.14;27.03.00;52.00.00;54.04.00
00.06.15;27.04.00;52.05.00;54.09.00
00.06.16;27.05.00;52.09.00;55.02.00
00.06.17;27.06.00;53.02.00;55.05.00
00.06.18;27.07.00;53.04.00;55.09.00
00.06.19;27.08.00;53.05.00;56.03.00
00.06.20;27.09.00;53.06.00;56.07.00
00.06.21;28.00.00;53.06.00;57.00.00
00.06.22;28.01.00;53.07.00;57.03.00
00.06.23;28.02.00;53.08.00;57.04.00
00.06.24;28.03.00;53.08.00;57.07.00
00.06.25;28.04.00;53.09.00;57.09.00
00.06.26;28.05.00;53.09.00;57.09.00
00.06.27;28.06.00;54.00.00;57.09.00
00.06.28;28.07.00;54.00.00;57.07.00
00.06.29;28.08.00;54.00.00;57.07.00
00.06.30;28.09.00;54.00.00;57.07.00
00.06.31;29.00.00;54.01.00;57.06.00
00.06.32;29.01.00;54.00.00;57.07.00
00.06.33;29.02.00;54.00.00;57.09.00
00.06.34;29.03.00;53.09.00;58.00.00
00.06.35;29.04.00;53.08.00;58.02.00
00.06.36;29.05.00;53.08.00;58.04.00
00.06.37;29.06.00;53.07.00;58.05.00
00.06.38;29.07.00;53.08.00;58.07.00
00.06.39;29.07.00;53.09.00;58.09.00
00.06.40;29.08.00;53.09.00;59.00.00
00.06.41;29.09.00;53.09.00;59.01.00
00.06.42;30.00.00;54.00.00;59.03.00
00.06.43;30.01.00;54.00.00;59.05.00
00.06.44;30.02.00;54.00.00;59.07.00
00.06.45;30.03.00;54.01.00;59.08.00
00.06.46;30.03.00;54.02.00;60.00.00
00.06.47;30.04.00;54.04.00;60.02.00
00.06.48;30.04.00;54.06.00;60.03.00
00.06.49;30.05.00;54.09.00;60.04.00
00.06.50;30.06.00;55.01.00;60.05.00
00.06.51;30.07.00;55.01.00;60.05.00
00.06.52;30.08.00;55.01.00;60.05.00
00.06.53;30.09.00;55.00.00;60.05.00
